image,target_xywh,target_cls,target_cls_fine,xywh,cls,conf
apples_apple-scab_10_zoom_jpg.rf.a78763d19115f70540d89b1ff3dfb6c9,"[[0.6583333333333333, 0.49333333333333335, 0.6833333333333333, 0.9748148148148148]]",[0],[0],"[[450.0, 334.9808654785156, 900.0, 667.1799926757812], [451.9649963378906, 335.7572326660156, 896.0700073242188, 668.9841918945312]]","[0.0, 7.0]","[0.8122451305389404, 0.5601990818977356]"
apple-leaf-isolated-white-background-56631026_jpg.rf.10dafe4204528cb153f34b68f43799fb,"[[0.490625, 0.5122832369942196, 0.67125, 0.8164739884393064]]",[0],[1],"[[369.4666442871094, 347.2381591796875, 601.1215209960938, 546.887939453125]]",[0.0],[0.9407737851142883]
depositphotos_1323264-Raspberry-leaf-on-white_jpg.rf.d535fefaeb3ad52467fd5131d5089674,"[[0.5185546875, 0.508419689119171, 0.845703125, 0.822538860103627]]",[7],[14],"[[530.25927734375, 389.80712890625, 864.3997802734375, 653.994140625]]",[7.0],[0.8708894848823547]
pix053_jpg.rf.26a16548140d500fdfe285209df445ba,"[[0.539647577092511, 0.5388888888888889, 0.8942731277533039, 0.9148148148148149]]",[0],[2],"[[114.98580932617188, 149.1536102294922, 190.22024536132812, 224.78402709960938]]",[0.0],[0.7776423692703247]
early-blight-or-target-spot-alternaria-solani-lesions-on-a-tomato-AXK6AY_jpg.rf.0b4b8f7c83ab5ec22246f94bb12750a9,"[[0.49538461538461537, 0.45884003741814783, 0.9046153846153846, 0.5996258185219832]]",[6],[12],"[[669.4351196289062, 493.0491943359375, 1249.0950927734375, 659.071044921875]]",[11.0],[0.9143192768096924]
110822-206-Tomato-blight_jpg.rf.b60f3ef83e22b5e943a0d9d677b676ee,"[[0.4886666666666667, 0.4308617234468938, 0.884, 0.8376753507014028]]",[11],[23],"[[371.40606689453125, 218.63670349121094, 695.746826171875, 411.3539733886719], [701.1292114257812, 342.427490234375, 97.7415771484375, 305.7234802246094]]","[11.0, 6.0]","[0.8455697298049927, 0.6176578998565674]"
Tomato-2BBacterial-2BSpot-2Bon-2BLeaves_jpg.rf.dd03839a0d3fa6e335bcf0cad9a758cc,"[[0.404, 0.47338403041825095, 0.772, 0.8859315589353612]]",[11],[22],"[[185.64141845703125, 140.0105743408203, 370.53271484375, 220.794677734375]]",[11.0],[0.9408167600631714]
18c_jpg.rf.cf7625ea31adebace38a01ba3b82579c,"[[0.48142857142857143, 0.5078431372549019, 0.8771428571428571, 0.9058823529411765]]",[11],[23],"[[160.67526245117188, 129.12474060058594, 319.83148193359375, 238.1048583984375]]",[11.0],[0.9194346070289612]
three-raspberry-green-leaves-isolated-white-background-62022932_jpg.rf.dcee0280d72ce109747362b16bd4b615,"[[0.47941176470588237, 0.676923076923077, 0.37563025210084033, 0.5061538461538462], [0.6659663865546218, 0.4419230769230769, 0.38235294117647056, 0.3669230769230769], [0.292436974789916, 0.325, 0.4907563025210084, 0.2561538461538462]]","[7, 7, 7]","[14, 14, 14]","[[796.8663330078125, 590.9068603515625, 467.77447509765625, 432.98602294921875], [566.8657836914062, 874.069580078125, 457.6438903808594, 672.6948852539062], [363.89520263671875, 422.2630615234375, 617.8907470703125, 342.6531982421875]]","[7.0, 7.0, 7.0]","[0.9532508254051208, 0.9010549187660217, 0.8785712718963623]"
powdery-mildew-sphaerotheca-fuliginea-infection-on-pumpkin-leaves-ajdkkx_jpg.rf.7d4af6106bcd8af54d4114a6010f73fd,"[[0.4486607142857143, 0.4265625, 0.6294642857142857, 0.840625]]",[9],[17],"[[204.63624572753906, 142.74839782714844, 282.1885681152344, 260.0721740722656]]",[9.0],[0.9483511447906494]
strawberry-leaves-stock-image-948674_jpg.rf.9eea848003d292ab80e940bd03756a9c,"[[0.3773076923076923, 0.6207729468599034, 0.4238461538461539, 0.4570048309178744], [0.7269230769230769, 0.6067632850241546, 0.36, 0.5739130434782609], [0.42923076923076925, 0.2545893719806763, 0.46923076923076923, 0.4067632850241546]]","[10, 10, 10]","[18, 18, 18]","[[550.6043701171875, 257.054931640625, 599.01318359375, 448.36700439453125], [491.07928466796875, 650.966552734375, 557.075439453125, 462.2777404785156], [964.281494140625, 624.9258422851562, 448.20001220703125, 575.029541015625]]","[10.0, 10.0, 10.0]","[0.9648440480232239, 0.9597839713096619, 0.9589596390724182]"
plant-fruit-berry-leaf-flower-food-herb-produce-blueberry-botany-flora-plants-wildflower-shrub-macro-photography-wipes-flowering-plant-bilberry-huckleberry-dayflower-land-plant-dayflower-family-1090218_jpg.rf.d8dfa1f7ecc2966e77ffd6e05bb66ff6,"[[0.42549070247933884, 0.7870370370370371, 0.09684917355371901, 0.2013888888888889], [0.5453254132231405, 0.7608024691358025, 0.15263429752066116, 0.14891975308641975], [0.5790289256198347, 0.8902391975308642, 0.1012396694214876, 0.2195216049382716], [0.6623192148760331, 0.7166280864197531, 0.12835743801652894, 0.13387345679012347], [0.7715650826446281, 0.3904320987654321, 0.15211776859504134, 0.19290123456790123], [0.6899535123966942, 0.23919753086419754, 0.1206095041322314, 0.14351851851851852], [0.5316373966942148, 0.2810570987654321, 0.07257231404958678, 0.15856481481481483], [0.365573347107438, 0.5275848765432098, 0.08910123966942149, 0.18248456790123457], [0.27918388429752067, 0.4504243827160494, 0.0625, 0.08140432098765432], [0.1984762396694215, 0.3765432098765432, 0.10046487603305786, 0.15432098765432098], [0.10730888429752067, 0.38117283950617287, 0.09323347107438017, 0.13194444444444445], [0.18982438016528927, 0.45891203703703703, 0.12190082644628099, 0.1091820987654321], [0.10369318181818182, 0.5453317901234568, 0.09323347107438017, 0.14467592592592593], [0.20209194214876033, 0.8142361111111112, 0.1965392561983471, 0.2349537037037037], [0.07476756198347108, 0.7472993827160493, 0.11699380165289257, 0.3001543209876543], [0.4668130165289256, 0.6267361111111112, 0.17639462809917356, 0.14467592592592593], [0.8308367768595041, 0.26967592592592593, 0.10537190082644628, 0.16820987654320987], [0.1615444214876033, 0.1583719135802469, 0.08393595041322315, 0.21334876543209877], [0.30643078512396693, 0.08391203703703703, 0.0565599173553719, 0.1392746913580247], [0.44963842975206614, 0.11921296296296297, 0.18078512396694216, 0.18441358024691357]]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[[1633.752197265625, 2020.208251953125, 347.4508056640625, 449.6866455078125], [417.8047790527344, 1007.5372314453125, 463.91949462890625, 347.38226318359375], [2053.97314453125, 1950.052490234375, 399.484619140625, 286.1871337890625], [2054.354736328125, 727.5427856445312, 381.7850341796875, 342.6890869140625], [1724.903076171875, 1664.619384765625, 490.713623046875, 301.4490966796875], [215.53329467773438, 2290.16943359375, 354.3084716796875, 205.367431640625], [1199.336669921875, 941.1718139648438, 363.65875244140625, 405.4796142578125], [1574.135498046875, 171.89285278320312, 353.9918212890625, 343.78570556640625], [173.16949462890625, 1744.11572265625, 345.72802734375, 429.1873779296875], [2623.385986328125, 630.8198852539062, 570.875, 426.545166015625], [1377.299072265625, 1368.748779296875, 281.60546875, 446.5721435546875], [700.3095092773438, 1218.2261962890625, 415.9223937988281, 234.8095703125], [130.42239379882812, 2479.151123046875, 260.84478759765625, 208.47119140625], [2224.601318359375, 2325.79833984375, 352.02587890625, 481.65234375], [996.3536376953125, 1862.7496337890625, 257.44854736328125, 153.53466796875], [441.9036865234375, 1421.303955078125, 304.8441162109375, 264.709228515625], [1924.765380859375, 998.0654296875, 302.5609130859375, 194.052001953125], [2481.391357421875, 1785.66943359375, 535.36962890625, 436.8455810546875]]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[0.8991188406944275, 0.8929862380027771, 0.8595143556594849, 0.8230171203613281, 0.8183605670928955, 0.7691513895988464, 0.6442504525184631, 0.6384862065315247, 0.6248029470443726, 0.6200145483016968, 0.5750110745429993, 0.5402687191963196, 0.4497390389442444, 0.4053393006324768, 0.37453797459602356, 0.36272603273391724, 0.34544503688812256, 0.2603719234466553]"
6447731_orig_jpg.rf.b26bef77a14d203290fea963dbe99793,"[[0.475, 0.45481927710843373, 0.918, 0.8855421686746988]]",[11],[20],"[[232.5874786376953, 154.63711547851562, 464.2901306152344, 296.15521240234375]]",[11.0],[0.9446797370910645]
leaf-blueberry-15281271_jpg.rf.6d25d3363fdbbbebd94090daccb4e588,"[[0.6861538461538461, 0.655188679245283, 0.20153846153846153, 0.5216981132075472], [0.7707692307692308, 0.3778301886792453, 0.3476923076923077, 0.21037735849056605], [0.5896153846153847, 0.20047169811320756, 0.28384615384615386, 0.24622641509433962], [0.42115384615384616, 0.29150943396226414, 0.17153846153846153, 0.15660377358490565], [0.3630769230769231, 0.4160377358490566, 0.1676923076923077, 0.34150943396226413], [0.28192307692307694, 0.15377358490566037, 0.09769230769230769, 0.18679245283018867], [0.43, 0.16132075471698112, 0.18307692307692308, 0.2018867924528302]]","[2, 2, 2, 2, 2, 2, 2]","[5, 5, 5, 5, 5, 5, 5]","[[976.1073608398438, 398.7812805175781, 423.2083740234375, 220.24407958984375], [884.1976318359375, 698.1113891601562, 272.40545654296875, 540.1636962890625], [746.2161865234375, 208.51675415039062, 417.14825439453125, 275.57318115234375], [474.33209228515625, 444.08856201171875, 180.50735473632812, 341.3055725097656], [634.507080078125, 421.7335205078125, 136.27276611328125, 180.8826904296875], [378.2281494140625, 162.10240173339844, 129.90817260742188, 189.15255737304688], [551.0359497070312, 160.41763305664062, 222.54931640625, 225.44728088378906], [378.7342224121094, 160.93978881835938, 130.71807861328125, 189.84194946289062], [372.0179138183594, 326.9925537109375, 89.62420654296875, 145.02529907226562]]","[2.0, 2.0, 2.0, 2.0, 2.0, 8.0, 2.0, 2.0, 2.0]","[0.9358271956443787, 0.9289765357971191, 0.8055664896965027, 0.7963659167289734, 0.6968815922737122, 0.6401262879371643, 0.5911298394203186, 0.5055718421936035, 0.39726755023002625]"
main-qimg-d9c2a93f60568485c989670d9bbf703b_jpg.rf.0ee0c7ca6ab930037daafd708b829821,"[[0.3596345514950166, 0.5746753246753247, 0.6229235880398671, 0.5909090909090909], [0.5930232558139535, 0.20562770562770563, 0.4186046511627907, 0.2727272727272727], [0.7674418604651163, 0.6677489177489178, 0.1893687707641196, 0.6601731601731602]]","[11, 11, 11]","[21, 21, 21]","[[208.17352294921875, 256.95953369140625, 375.6119384765625, 264.9031982421875], [356.63885498046875, 88.7858657836914, 272.362548828125, 133.80091857910156], [461.4070739746094, 313.95501708984375, 121.88922119140625, 281.2241516113281]]","[11.0, 11.0, 11.0]","[0.929421603679657, 0.914343535900116, 0.8208629488945007]"
apples_apple-scab_01_zoom_jpg.rf.77862c566551e32b61f10ea64e1fcecf,"[[0.5583333333333333, 0.5122832369942196, 0.7077777777777777, 0.6517341040462428], [0.1638888888888889, 0.5115606936416185, 0.20333333333333334, 0.8497109826589595]]","[0, 0]","[0, 0]","[[484.6258544921875, 352.7308044433594, 648.37109375, 418.64947509765625]]",[0.0],[0.9576908946037292]
20180511_091133-24l1vhg-e1526047988236_jpg.rf.f64a1c91b51d33ab27b02808b86aa0f8,"[[0.4282128514056225, 0.5391566265060241, 0.7566934404283802, 0.5470632530120482]]",[0],[1],"[[1249.58447265625, 2828.30126953125, 2270.27001953125, 2906.538330078125]]",[0.0],[0.9051873087882996]
depositphotos_3443387-stock-photo-the-green-grape-leaf-on_jpg.rf.705833411d0b6a28c128a3bb9f5ec3f7,"[[0.46533203125, 0.4270833333333333, 0.5458984375, 0.7135416666666666]]",[12],[28],"[[467.2667541503906, 327.020751953125, 549.9854125976562, 542.195068359375]]",[12.0],[0.9154664874076843]
corn-disease-update-fig-3-gray-leaf-spot_jpg.rf.dfdad04f3d1bbce51b6bdcda8de2bb7e,"[[0.502, 0.5, 0.9946666666666667, 0.9466666666666667]]",[4],[8],"[[750.0, 565.0630493164062, 1500.0, 1119.5772705078125]]",[4.0],[0.9366360306739807]
show_picture_asp-id-aaaaaaaaaaogcqq-w2-420-h2-378-clip-center-420-378-meta-0_jpg.rf.47c7fe4b2392aafc104db251506439ec,"[[0.5071428571428571, 0.44047619047619047, 0.9857142857142858, 0.8703703703703703]]",[4],[7],"[[210.12075805664062, 165.15426635742188, 419.75848388671875, 325.42626953125]]",[4.0],[0.9409652352333069]
0c_jpg.rf.68645237a6789bad60b65ddfcff31bc1,"[[0.491025641025641, 0.49800399201596807, 0.9717948717948718, 0.9800399201596807]]",[4],[8],"[[585.0, 228.91830444335938, 1170.0, 439.37969970703125]]",[4.0],[0.8928900361061096]
2STEM_jpg.rf.2e57727bead2360055fc755ba9ca4eeb,"[[0.5081743869209809, 0.4953125, 0.7929155313351499, 0.9625]]",[11],[20],"[[186.61618041992188, 320.07220458984375, 292.2969970703125, 638.1405029296875]]",[11.0],[0.9343991875648499]
bact-spot-fig-1_jpg.rf.33ace5ea50f65402438b7df6efbf57cc,"[[0.47797716150081565, 0.4339045287637699, 0.8711256117455138, 0.5397796817625459]]",[11],[22],"[[577.85986328125, 356.06903076171875, 1085.908447265625, 452.81640625]]",[1.0],[0.9729917049407959]
strawberry-leaves-isolated-white-17473157_jpg.rf.90ba7324f8405610b33e5188750c6f09,"[[0.38893249607535324, 0.553076923076923, 0.31004709576138145, 0.3169230769230769], [0.6758241758241759, 0.708076923076923, 0.36106750392464676, 0.3453846153846154], [0.27982731554160123, 0.7719230769230769, 0.45447409733124017, 0.3638461538461538], [0.5553375196232339, 0.24346153846153845, 0.32574568288854006, 0.30230769230769233], [0.30062794348508637, 0.2734615384615385, 0.27001569858712715, 0.2453846153846154], [0.42229199372056514, 0.10192307692307692, 0.3281004709576138, 0.12846153846153846]]","[10, 10, 10, 10, 10, 10]","[18, 18, 18, 18, 18, 18]","[[362.4096374511719, 1009.521240234375, 555.4649047851562, 457.072509765625], [719.6444091796875, 315.37054443359375, 403.35955810546875, 358.47540283203125], [489.76654052734375, 726.414794921875, 397.4908447265625, 409.56256103515625], [381.509033203125, 346.58856201171875, 324.4868469238281, 328.1212158203125], [866.5484619140625, 918.2467041015625, 469.623779296875, 432.79656982421875], [531.7144775390625, 138.80465698242188, 400.5822448730469, 163.96495056152344]]","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.9607658386230469, 0.942049503326416, 0.9410401582717896, 0.9408921003341675, 0.9161111116409302, 0.8877953886985779]"
00pe_jpg.rf.a17680fc7cdfa4c78c70f3ef1a81fd79,"[[0.5145833333333333, 0.385, 0.9152777777777777, 0.692]]",[5],[10],"[[362.2345275878906, 371.9430847167969, 686.7742309570312, 703.0529174804688], [360.2233581542969, 370.83892822265625, 678.6874389648438, 698.4022216796875]]","[3.0, 0.0]","[0.7217788100242615, 0.45651835203170776]"
55830b60a7cf2_image_jpg.rf.c19fcce7c02c1ce62a550db6309ef07f,"[[0.3226768968456948, 0.20696489241223104, 0.4032395566922421, 0.18742921857304642], [0.782608695652174, 0.25, 0.43137254901960786, 0.2599093997734994], [0.35720375106564367, 0.543035107587769, 0.3938618925831202, 0.5209513023782559]]","[11, 11, 11]","[20, 20, 20]","[[923.9999389648438, 427.12774658203125, 380.6690673828125, 406.2546081542969], [392.25457763671875, 362.7565612792969, 448.9364013671875, 209.12152099609375], [432.38037109375, 943.1348876953125, 473.6352233886719, 830.0496215820312]]","[11.0, 11.0, 11.0]","[0.9201751947402954, 0.918984591960907, 0.8606086373329163]"
2013Corn_GrayLeafSpot_0815_0003_JPG_jpg.rf.d4196887c40f7d075f55dc3e625ab89d,"[[0.52375, 0.49875, 0.64, 0.9958333333333333]]",[4],[8],"[[836.0609130859375, 601.0183715820312, 1002.5470581054688, 1197.9632568359375]]",[4.0],[0.9450678825378418]
apple-leaf-14319997_jpg.rf.9b8968c4bafe506e158b94d70da234d6,"[[0.5319230769230769, 0.45826235093696766, 0.933076923076923, 0.7427597955706985]]",[0],[1],"[[567.8622436523438, 535.5533447265625, 956.0303955078125, 876.435791015625]]",[0.0],[0.9491627216339111]
summersquashpowderymildew_jpg.rf.b570282be06fe060a5afe59f3c5a3619,"[[0.512987012987013, 0.5252808988764045, 0.9653679653679653, 0.949438202247191]]",[9],[17],"[[116.99732208251953, 89.12358856201172, 227.2950897216797, 165.55287170410156]]",[9.0],[0.906659722328186]
strawberry-leaf-22360816_jpg.rf.eb63ea69b0947f08a9247081d8610d03,"[[0.7107692307692308, 0.6139240506329114, 0.4676923076923077, 0.41940928270042194], [0.3869230769230769, 0.6063291139240506, 0.2815384615384615, 0.48523206751054854], [0.62, 0.22869198312236286, 0.46923076923076923, 0.4]]","[10, 10, 10]","[18, 18, 18]","[[815.1953735351562, 269.8857116699219, 618.5728759765625, 487.8577575683594], [495.96710205078125, 742.0160522460938, 407.6116638183594, 583.8243408203125], [915.0367431640625, 727.7725219726562, 634.780029296875, 516.5596923828125]]","[10.0, 10.0, 10.0]","[0.9743992686271667, 0.9626238942146301, 0.9586511850357056]"
039b47d574bc4bb8a14259a1cd96a741_jpg.rf.5b1a57c3022b2e400c3b550edf84011b,"[[0.7335423197492164, 0.6169102296450939, 0.43573667711598746, 0.3903966597077244]]",[11],[19],"[[466.0103759765625, 294.6702880859375, 277.7035217285156, 192.17111206054688]]",[11.0],[0.9373334050178528]
0000_jpg.rf.d9be28abba2b4e67431ed005bdde14de,"[[0.472, 0.483, 0.938, 0.912]]",[12],[28],"[[480.8633728027344, 465.18914794921875, 943.5985717773438, 888.5467529296875]]",[12.0],[0.9609721899032593]
0796_47southrust_jpg.rf.a69991f882b401e6dd0b6232af159700,"[[0.5011574074074074, 0.4722222222222222, 0.9976851851851852, 0.8492063492063492]]",[4],[9],"[[216.0, 124.63261413574219, 432.0, 225.31655883789062]]",[4.0],[0.9399016499519348]
strom5_jpg.rf.3e31bc99df9caf64608a76af43360428,"[[0.43645833333333334, 0.5046875, 0.8604166666666667, 0.990625]]",[4],[7],"[[210.43930053710938, 160.31478881835938, 420.83563232421875, 319.37042236328125]]",[4.0],[0.9548202753067017]
prunsero_leaf2_jpg.rf.07ad3e42757e4317a313dfbfdd10cf96,"[[0.473, 0.5804521276595744, 0.719, 0.742686170212766], [0.8785, 0.2978723404255319, 0.23, 0.3191489361702128], [0.3535, 0.06366356382978723, 0.67, 0.1266622340425532]]","[3, 3, 3]","[6, 6, 6]","[[983.7695922851562, 1791.6077880859375, 1372.5084228515625, 2223.627685546875], [1754.9117431640625, 890.0272827148438, 489.64111328125, 995.7899169921875]]","[0.0, 0.0]","[0.9381154775619507, 0.9072912335395813]"
bacterial_leaf_spot_pepper_l_jpg.rf.d78304d5491cc305134333dc5af1fc1e,"[[0.47, 0.45666666666666667, 0.93, 0.7266666666666667]]",[1],[4],"[[199.34658813476562, 139.96759033203125, 397.03802490234375, 217.64976501464844]]",[1.0],[0.6408107876777649]
stock-photo-peach-tree-leaf-isolated-over-white-background-back-side-64472731_jpg.rf.6bc69b9638995800fd5db37f79064269,"[[0.49766666666666665, 0.4365625, 0.29, 0.838125]]",[5],[10],"[[747.19580078125, 758.3462524414062, 418.443115234375, 1516.6925048828125]]",[5.0],[0.7649231553077698]
10148582-green-leaf-of-pepper_jpg.rf.d0dbfb72bb36773609f8ad6bf69b651b,"[[0.533125, 0.5146048109965635, 0.80125, 0.8230240549828178]]",[1],[3],"[[418.8887939453125, 301.120849609375, 668.865478515625, 490.5964660644531]]",[1.0],[0.49837398529052734]
powdery-mildew-on-pumpkin-leaves-close-up-2_jpg.rf.3ddaebc0233997d1edb6d312ff402018,"[[0.4913194444444444, 0.49074074074074076, 0.9097222222222222, 0.9768518518518519]]",[9],[17],"[[288.7815246582031, 216.90830993652344, 574.4369506835938, 429.8299255371094]]",[9.0],[0.955994725227356]
apple-20scab-20leaf_jpg.rf.d7c1aa30a31c9acfcf45ee8fef3d83c8,"[[0.502092050209205, 0.5, 0.99581589958159, 0.9949748743718593]]",[0],[0],"[[123.66809844970703, 189.52198791503906, 226.8162078857422, 373.1943664550781]]",[0.0],[0.933467447757721]
earlyblightpotato_jpg.rf.096fb8b664867bf2c062085ed0d102e1,"[[0.632258064516129, 0.5014285714285714, 0.5634408602150538, 0.9971428571428571]]",[6],[12],"[[287.6727600097656, 173.26715087890625, 269.59063720703125, 339.6422119140625]]",[6.0],[0.9410507082939148]
fungus-univ-of-minnesoeta_jpg.rf.c41a4b9785a7b692066e3d4a22f5a498,"[[0.32375, 0.13916666666666666, 0.415, 0.25833333333333336], [0.311875, 0.7308333333333333, 0.31875, 0.23166666666666666], [0.785, 0.5933333333333334, 0.365, 0.49333333333333335], [0.48625, 0.485, 0.65, 0.43666666666666665]]","[11, 11, 11, 11]","[26, 26, 26, 26]","[[623.0142822265625, 364.09112548828125, 292.71148681640625, 272.0245361328125], [261.3997802734375, 79.10030364990234, 285.00799560546875, 158.2006072998047], [507.2906494140625, 536.4278564453125, 201.1005859375, 126.24810791015625], [246.26406860351562, 428.27398681640625, 276.8428955078125, 148.58871459960938], [316.52587890625, 275.87725830078125, 368.390380859375, 281.94659423828125], [47.3485107421875, 365.4599304199219, 94.4923095703125, 469.08013916015625], [543.6566162109375, 41.636817932128906, 184.881591796875, 83.27363586425781]]","[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]","[0.9212654829025269, 0.8909741640090942, 0.8714584708213806, 0.8654851317405701, 0.8210391402244568, 0.47569310665130615, 0.39704620838165283]"
49-20Leafmold-20Bottom_jpg.rf.fb818259b9088ea8db5c658839083777,"[[0.48412698412698413, 0.5255474452554745, 0.9444444444444444, 0.7591240875912408]]",[11],[26],"[[115.34872436523438, 71.53440856933594, 227.46075439453125, 105.05889892578125]]",[11.0],[0.6920618414878845]
393_jpg.rf.b4ba02559b48d3d83722ceb05dc76a63,"[[0.5305084745762711, 0.5012722646310432, 0.8169491525423729, 0.9974554707379135]]",[4],[9],"[[325.1205749511719, 197.31057739257812, 471.21319580078125, 389.40289306640625]]",[4.0],[0.9533621668815613]
apple-leaf-9834637_jpg.rf.c689146555053229cfbad5b13bd07435,"[[0.5007692307692307, 0.46290491118077326, 0.8507692307692307, 0.5977011494252874]]",[0],[1],"[[551.625732421875, 440.4007263183594, 883.9183349609375, 574.6541137695312]]",[0.0],[0.961093544960022]
20180511_091252-1gy5xf5-e1526048000596_jpg.rf.a6d481eb9f19d54142bbecb10fa29585,"[[0.37416331994645247, 0.5239081325301205, 0.7382864792503346, 0.5124246987951807]]",[0],[1],"[[1153.663818359375, 2777.677734375, 2253.986328125, 2690.0830078125]]",[0.0],[0.8908029198646545]
resistance1c_jpg.rf.e155b3f0d15d6141c93306feeb850a56,"[[0.5067114093959731, 0.25513196480938416, 0.8702460850111857, 0.39589442815249265]]",[8],[15],"[[235.8138427734375, 172.33242797851562, 348.640869140625, 245.28150939941406], [234.2368927001953, 522.8873291015625, 389.8750305175781, 314.53228759765625]]","[8.0, 0.0]","[0.9869612455368042, 0.26005569100379944]"
Raspberry-leaf_jpg.rf.48721a95382c80e8e9d2fb24721de9a3,"[[0.47875, 0.4606741573033708, 0.8658333333333333, 0.8164794007490637]]",[7],[14],"[[592.005615234375, 384.161865234375, 1079.870361328125, 676.5985107421875]]",[7.0],[0.9211087226867676]
0796_40comrust_jpg.rf.af1d85a3b8f1cc129d7acc62329929e0,"[[0.4618055555555556, 0.5279850746268657, 0.9189814814814815, 0.9440298507462687]]",[4],[9],"[[216.0, 136.12718200683594, 432.0, 259.7010192871094]]",[4.0],[0.9426929354667664]
2013-08-20-06_jpg.rf.fc53ab92ffcc194e1e2328859013a54a,"[[0.73, 0.7370833333333333, 0.39625, 0.32416666666666666], [0.333125, 0.43, 0.15875, 0.44166666666666665], [0.7840625, 0.35583333333333333, 0.288125, 0.21166666666666667]]","[11, 11, 11]","[21, 21, 21]","[[1167.9383544921875, 857.2501220703125, 646.2606811523438, 376.69805908203125], [1273.83544921875, 432.2839050292969, 422.159423828125, 277.58795166015625], [743.6396484375, 288.54931640625, 175.13031005859375, 308.2248229980469], [489.3343505859375, 507.8822937011719, 277.5078125, 479.20025634765625]]","[11.0, 11.0, 11.0, 11.0]","[0.9203425049781799, 0.6537542939186096, 0.5440570116043091, 0.25733524560928345]"
1421_0_jpeg-itok-FMtmgePj_jpg.rf.35c94fb07dfa06f99be3c650a03c36b5,"[[0.48671875, 0.5114583333333333, 0.9546875, 0.8645833333333334]]",[6],[13],"[[323.26678466796875, 250.40345764160156, 633.4664306640625, 416.5525817871094]]",[6.0],[0.9268548488616943]
4-apple-rust2_19011_matt-bertone_jpg.rf.e625873034bdeec9c2a385b9852a5b1a,"[[0.5341666666666667, 0.47875, 0.9316666666666666, 0.7275]]",[0],[2],"[[309.09686279296875, 188.6636962890625, 558.4437255859375, 277.925537109375]]",[0.0],[0.9352582693099976]
02c_jpg.rf.f0b511bcce4c1aecaaabaca0753f3069,"[[0.5026041666666666, 0.487962962962963, 0.990625, 0.7462962962962963]]",[4],[8],"[[480.0, 287.1167907714844, 960.0, 422.8260498046875]]",[4.0],[0.9162042737007141]
2011-011_jpg.rf.f8b9d789ff607b1d075fbe52ceb66fe6,"[[0.518, 0.5093333333333333, 0.784, 0.9813333333333333]]",[0],[2],"[[252.87750244140625, 188.0371551513672, 399.26226806640625, 372.3985900878906], [252.5196533203125, 188.60281372070312, 403.77825927734375, 372.79437255859375], [250.68460083007812, 187.6838836669922, 402.03582763671875, 373.2525329589844]]","[0.0, 7.0, 12.0]","[0.6240283846855164, 0.526744544506073, 0.475144624710083]"
Tomato_leaf_jpg.rf.64059776578fc9ef95fe5ac2a8d2a76e,"[[0.5018656716417911, 0.5037330844610359, 0.9720149253731343, 0.9785347643490434]]",[11],[21],"[[972.628173828125, 1069.8345947265625, 1945.25634765625, 2121.127685546875]]",[11.0],[0.9322493672370911]
5496239405_d95bdb97d1_z_jpg.rf.173b13f28fb8354f39b6eab6994c87b6,"[[0.5078125, 0.5333333333333333, 0.98125, 0.9333333333333333]]",[4],[9],"[[320.0, 254.6583251953125, 640.0, 450.270751953125]]",[4.0],[0.9082859754562378]
toma_TMV_jpg.rf.346d65c9c8c26956071224d548ee7017,"[[0.05898566703417861, 0.2900826446280992, 0.11356119073869901, 0.40165289256198344], [0.237045203969129, 0.8008264462809918, 0.2954796030871003, 0.39834710743801655], [0.24035281146637266, 0.23636363636363636, 0.30429988974641675, 0.45950413223140496], [0.6300992282249173, 0.5537190082644629, 0.6427783902976847, 0.5355371900826447]]","[11, 11, 11, 11]","[24, 24, 24, 24]","[[218.59014892578125, 481.18316650390625, 253.0833740234375, 244.85873413085938], [231.19918823242188, 136.06668090820312, 300.32086181640625, 270.57281494140625], [574.714599609375, 313.9320373535156, 584.71435546875, 332.13690185546875], [53.29804611206055, 167.05227661132812, 106.5960922241211, 247.02734375], [26.535037994384766, 442.1765441894531, 53.07007598876953, 227.10577392578125]]","[11.0, 11.0, 11.0, 11.0, 11.0]","[0.9444549083709717, 0.9417741894721985, 0.935931921005249, 0.8682666420936584, 0.4973776340484619]"
